City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,mananjary,-21.2167,48.3333,22.86,90,82,1.79,MG,2023-02-01 23:32:15
284,luderitz,-26.6481,15.1594,17.85,77,0,8.64,NA,2023-02-01 23:23:48
285,agadir,30.4202,-9.5982,11.25,48,4,1.69,MA,2023-02-01 23:32:16
286,salalah,17.0151,54.0924,24.05,53,75,1.54,OM,2023-02-01 23:32:16
287,borger,52.9233,6.7931,6.0,87,13,6.31,NL,2023-02-01 23:32:17
288,pucallpa,-8.3791,-74.5539,27.02,78,75,1.03,PE,2023-02-01 23:27:48
289,evensk,61.95,159.2333,-20.03,90,58,2.91,RU,2023-02-01 23:28:12
290,hambantota,6.1241,81.1185,24.31,90,100,3.3,LK,2023-02-01 23:24:31
291,wilkie,52.4168,-108.7014,-19.79,75,99,5.72,CA,2023-02-01 23:29:15
292,aquiraz,-3.9014,-38.3911,27.32,86,99,4.31,BR,2023-02-01 23:32:18
293,boende,-0.2167,20.8667,20.88,89,86,1.02,CD,2023-02-01 23:28:06
294,antsohihy,-14.8796,47.9875,23.13,93,90,1.84,MG,2023-02-01 23:32:19
295,maniitsoq,65.4167,-52.9,-15.33,84,85,3.39,GL,2023-02-01 23:32:20
296,iquitos,-3.7481,-73.2472,30.02,62,20,1.03,PE,2023-02-01 23:32:20
297,hvide sande,56.0045,8.1294,3.38,74,60,12.24,DK,2023-02-01 23:32:21
298,chkalovskoye,44.8392,133.0436,-18.65,93,83,2.85,RU,2023-02-01 23:32:21
299,cassilandia,-19.1133,-51.7342,23.24,85,93,0.7,BR,2023-02-01 23:32:22
